Name,Year,Duration,Rating,Votes,Description,language
Sam Bahadur,2023,2h 30m,8.2,8.9K,Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,Hindi
Animal,2023,3h 24m,6.8,64K,"A father, who is often away due to work, is unable to comprehend the intensity of his son's fervent love and admiration, which creates conflict between both of them.",Hindi
Starfish,2023,2h 1m,8.9,16K,Beautiful journey through the depths of the underwater world as we witness a gripping tale of grief and healing unfold before our eyes.,Hindi
Farrey,2023,2h 10m,8.7,5.8K,"After gaining admission into an elite school on scholarship, an orphan genius Niyati gets entangled in a cheating racket when some of her rich friends lure her into helping them cheat in exams through elaborate methods.",Hindi
Kadak Singh,2023,2h 8m,6.8,5.1K,AK Srivastava an officer of the Department of Financial Crimes is diagnosed with retrograde amnesia despite which he solves the case of a Chit Fund Scam by listening to different perspectives of who he was and how he came to the hospital.,Hindi
Khichdi 2,2023,2h 1m,5.9,292,Parekh family discovers that the King of Paanthukistan looks exactly like Praful. The family chooses to take advantage of this and change the village while looking out for themselves. Praful changes appearances and takes the king's place.,Hindi
Apurva,2023,1h 35m,6.2,2K,"Apurva, a female protagonist outwit infamous gang of Chambal decoits.",Hindi
Tiger 3,2023,2h 34m,6.5,50K,Tiger and Zoya are back - to save the country and their family. This time it's personal.,Hindi
Pippa,2023,2h 19m,6.2,2.2K,A young Indian Army captain from the 45 Cavalry regiment commanding the amphibious PT-76 war tank comes of age as he and his two siblings fight to liberate Bangladesh in the Indo-Pakistani war of 1971.,Hindi
Shastry Viruddh Shastry,2023,2h 20m,7.1,1.9K,7-year-old Yaman Shastry who binds the family together lives in his grandparent care and his parents visit him on weekends. Things get twisted when Yaman's father gets a chance to settle in the US but Guruji is unwilling to let Yaman go.,Hindi
Aankh Micholi,2023,2h 24m,8.0,1.2K,A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy. Then a series of comical twists and turns.,Hindi
UT69,2023,1h 57m,8.6,1.5K,"Based on the true story of Businessman Raj Kundra's 63 days inside India's most over crowded jail, Arthur Road jail.",Hindi
The Ladykiller,2023,2h 5m,1.4,359,"When a small-town playboy falls in love for a dangerous girl, they embark on a journey of a dangerous romance.",Hindi
Ajab Tamasha,2023,2h 2m,7.2,1.5K,Hindi Comedy Entertainment Movie.,Hindi
12th Fail,2023,2h 27m,9.2,83K,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Hindi
Sajini Shinde Ka Viral Video,2023,1h 56m,6.5,4.7K,"When a school teacher goes missing after a risqué video of her is posted on the internet, a police officer is tasked with uncovering the truth behind her disappearance.",Hindi
Pyaari - Tarawali the True Story,2023,2h 23m,9.1,1.1K,"An intense and captivating love story drama of Pyaari, an enigma of womanhood, desiring love with freedom and of a common dreamy tea-seller Laxman Chai wallah.",Hindi
Mandali,2023,1h 58m,8.7,1.1K,It mirrors the journey of a man and his struggle to uphold righteousness in times of diminishing social conscience and downfall of cultural and traditional values.,Hindi
Pagalpan Next Level,2023,2h 8m,9.1,242,"Pagalpan Next Level is the biopic of fitness expert Guru Mann, starring himself. Guru Mann was a man on a mission to transform the fitness landscape of India with his 'Mission India Fit' campaign. From being a spirited trouble-maker in Amritsar to becoming a global fitness icon. The film underlines his journey from Yamaha to Lamborghini.",Hindi
Mahalakshmi Path: The Evolution,2023,2h 5m,8.2,302,"The film revolves around Sheetal and Samaira, sisters blessed with prosperous lives. Their personal evolution mirrors the Mahalakshmi Path, a journey towards joy, consciousness, and the true wealth of life.",Hindi
Tejas,2023,1h 52m,6.2,22K,"Revolves around the extraordinary journey of Tejas Gill, an Air Force pilot, and aims to inspire and instill a deep sense of pride in the valiant soldiers who tirelessly defend India, confronting numerous challenges along the way.",Hindi
GE Week - Ghost Encounters,2023,45m,8.7,164,"The team of Ghost Encounters, investigate some of the most haunted locations of India, in this Halloween Special. The team comes across entities haunting abandoned hospital to the infamous D'Mello House to places where insane Doctor used to experiment on his patients. Nothing gets crazier, insane and spookier than this.",Hindi
Yaariyan 2,2023,2h 28m,7.8,11K,"After moving to Mumbai, three cousins experience difficulties in their romantic relationships.",Hindi
Ganapath: Hero is Born,2023,2h 13m,5.2,9.6K,"In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark.",Hindi
Dhak Dhak,2023,2h 20m,6.3,1.7K,"Four women, who set out for a road trip to the highest motorable pass in the world on their bikes on a journey of self-discovery.",Hindi
Guthlee Ladoo,2023,1h 45m,7.6,479,"Guthlee, son of a poor sweeper, has a dream - to go to school. But the obstacle is his caste. A headmaster is sympathetic to him but powerless against caste discrimination. When they develop an unspoken bond, Guthlee's dream sees hope.",Hindi
Victor,2023,1h 41m,9.5,102,"'VICTOR' is a crime thriller set in London with the backdrop of 2008 financial crash. The plot is based on kidnap, ransom, murder and betrayal.",Hindi
Mission Raniganj,2023,2h 14m,7.3,16K,Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,Hindi
Maama Mascheendra,2023,2h 29m,4.1,158,"After serving a prison sentence for killing his father, Parasuram tries to recover property that has fallen into the hands of his uncle.",Hindi
Khufiya,2023,2h 37m,6.1,6.2K,"Krishna Mehra is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Hindi
Dono,2023,2h 36m,5.0,324,Dev travels to Thailand to attend his best friend and childhood crush's wedding. He meets Meghna and seems to have an instant connection with her. What does fate have in store for them?,Hindi
Tumse Na Ho Payega,2023,2h 12m,7.7,1.5K,"In a hilarious turn of events, Gaurav and his friends rediscover themselves when they decide to follow their hearts and defy the expectations of society.",Hindi
I Killed Bapu,2023,1h 21m,6.0,151,The assassination of Mahatma Gandhi made Nathuram Godse one of the most hated assassins in the history of India. The film depicts Godse's reason behind the extreme step.,Hindi
Dvand: The Internal Conflict,2023,1h 56m,9.1,1K,"Dvand: The Internal Conflict is a Hindi movie released on 29 Sep, 2023. The movie is directed by Ishtiyak Khan and featured Ishtiyak Khan, Vikram Kochhar, Sanjay Mishra and Tina Bhatia, Ipsita Chakraborty as lead characters.",Hindi
Fukrey 3,2023,2h 27m,6.2,24K,The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.,Hindi
Bahadur the Brave,2023,1h 30m,6.6,195,"Having a singular and opportune sociopolitical vision, 'Bahadur- The Brave' dwells into an exciting local story about the Nepalese migrant porters with universal scope, centred around an honest and touching friendship. The film is directed by Diwa Shah, the first-ever debut director's Indian film to win the coveted Kutxabank - New Directors Award at the prestigious 71st San Sebastián International Film Festival. Produced by Hardhyaan Films (Visvesh Singh Sehrawat) and Sinai Pictures (Thomas Ajay Abraham).",Hindi
The Great Indian Family,2023,1h 52m,5.9,6.6K,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Hindi
Jaane Jaan,2023,2h 19m,7.0,13K,A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation.,Hindi
Sukhee,2023,2h 19m,6.6,7.8K,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Hindi
Jawan,2023,2h 49m,7.0,89K,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Hindi
Haddi,2023,2h 14m,6.2,4.7K,"In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Hindi
Friday Night Plan,2023,1h 48m,6.5,1.8K,"When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Hindi
Love-All,2023,2h 12m,7.7,154,"It is the story of a father, a son, and a sport connecting their destinies. Talent lifts a man towards fame yet destiny had other ideas and challenges to chase passion against all odds.",Hindi
The Vaccine War,2023,2h 41m,7.6,24K,"Based on India's battle against Covid-19, and the efforts the medical department took to overcome the global crisis.",Hindi
Akelli,2023,2h 7m,7.8,5.7K,An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.,Hindi
Dream Girl 2,2023,2h 14m,5.2,11K,"Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.",Hindi
King of Kotha,2023,2h 54m,6.1,7.7K,"In a crime-infested town, Kannan bhai and his gang are the reigning powers. To combat this reign and seek revenge, Inspector Shahul tactfully plots the return of the 'King', leading to a transformative turn of events.",Hindi
Non Stop Dhamaal,2023,1h 40m,7.8,2.1K,"Satinder (Annu Kapoor), a film director with big dreams of working with famous stars, teams up with his friend Amar (Manoj Joshi), a struggling film writer, to find someone who can invest in their new film project. As the story unfolds, it takes us through a whirlwind of confusion, emotional moments, and loads of comedy.",Hindi
Ghoomer,2023,2h 15m,7.8,12K,"Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.",Hindi
OMG 2,2023,2h 36m,7.6,38K,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Hindi
Gadar 2,2023,2h 50m,5.2,22K,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.",Hindi
Rakshak India's Braves,2023,1h 15m,7.4,222,"The bravery of Lieutenant Triveni Singh, a young soldier who gave his own life to protect over 300 people who were caught in the cross firing at the Jammu railway station in a terrorist attack in 2004.",Hindi
Miss Shetty Mr Polishetty,2023,2h 29m,7.0,3.8K,"Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.",Hindi
Lomad,2023,1h 39m,8.1,343,This SINGLE SHOT film describes that there is a stranger within all of us that comes out at an unknown place and in an unusual time.,Hindi
